word,date,all,hard,letter freq,Wordiness,first letter freq,repeat num,usual_p_add,vowel_num,usual_or_not,first_vowel_pos,tag,2,3,4,5
slump,44568,80630,1362,1,5,0,0,0.319955407,1,0,3,3,,,,
crank,44569,101503,1763,2,5,0,0,0.396878484,1,0,3,3,,,,
gorge,44570,91477,1913,3,5,0,1,0.399108138,2,0,2,1,,,,
query,44571,107134,2242,2,5,1,0,0.296544036,2,0,2,3,,,,
drink,44572,153880,3017,2,8,0,0,0.344481605,1,1,3,2,,,,
abbey,44574,132726,3345,2,5,0,1,0.336677815,2,1,1,1,,,,
tangy,44575,169484,3985,2,5,0,0,0.29877369,1,0,2,3,,,,
panic,44576,205880,4655,2,3,0,0,0.236343367,2,1,2,2,,,,
solar,44577,209609,4955,4,3,0,0,0.361204013,2,1,2,2,,,,
shire,44578,222197,5640,3,5,0,0,0.497212932,2,0,3,2,,,,
proxy,44579,220950,6206,2,5,0,0,0.379041249,1,0,3,1,,,,
point,44580,280622,7094,3,5,0,0,0.370122631,2,1,2,2,,,,
robot,44581,243964,6589,4,5,0,1,0.302118172,2,0,2,2,,,,
prick,44582,273727,7409,2,3,0,0,0.350055741,1,0,3,2,,,,
wince,44583,241489,6850,2,5,0,0,0.358974359,2,0,2,3,,,,
crimp,44584,269929,7630,2,5,0,0,0.360089186,1,0,3,2,,,,
knoll,44585,258038,8317,3,5,1,1,0.286510591,1,0,3,1,,,,
sugar,44586,276404,8708,2,5,0,0,0.32664437,2,1,2,3,,,,
whack,44587,302348,10163,1,5,0,0,0.324414716,1,0,3,3,,,,
mount,44588,331844,11451,2,5,0,0,0.317725753,2,1,2,2,,,,
perky,44589,296968,11148,2,5,0,0,0.2909699,1,0,2,3,,,,
could,44590,313220,11592,2,4,0,0,0.309921962,2,0,2,2,,,,
wrung,44591,294687,11524,1,8,0,0,0.287625418,1,0,3,3,,,,
light,44592,341314,13347,3,3,0,0,0.228539576,1,1,2,2,,,,
those,44593,351663,13606,3,1,0,0,0.409141583,2,0,3,2,,,,
moist,44594,361908,14205,3,3,0,0,0.370122631,2,1,2,2,,,,
shard,44595,358176,14609,2,3,0,0,0.405797101,1,0,3,3,,,,
pleat,44596,359679,14813,4,5,0,0,0.316610925,2,0,3,2,,,,
aloft,44597,319698,13708,4,7,0,0,0.342251951,2,1,1,3,,,,
skill,44598,311018,13716,3,3,0,1,0.390189521,1,1,3,3,,,,
elder,44599,288228,13340,4,5,1,1,0.288740245,2,1,1,1,,,,
frame,44600,336236,15369,3,5,0,0,0.518394649,2,1,3,1,,,,
humor,44601,305372,13846,2,5,0,0,0.190635452,2,0,2,3,,,,
pause,44602,304830,13480,2,5,0,0,0.412486065,3,1,2,2,,,,
ulcer,44603,278826,10631,3,3,1,0,0.288740245,2,0,1,3,,,,
ultra,44604,269885,9310,4,3,1,0,0.211817168,2,0,1,3,,,,
robin,44605,277471,3249,3,5,0,0,0.229654404,2,0,2,2,,,,
cynic,44606,261521,10343,1,3,0,1,0.204013378,1,0,4,3,,,,
aroma,44607,287836,10343,4,5,0,1,0.360089186,3,1,1,3,,,,
caulk,44608,289721,10740,2,5,0,0,0.309921962,2,0,2,3,,,,
shake,44609,342003,12767,2,8,0,0,0.53400223,2,1,3,1,,,,
dodge,44610,265238,10220,2,5,0,1,0.37458194,2,0,2,1,,,,
swill,44611,282327,11241,3,5,0,1,0.390189521,1,0,3,1,,,,
tacit,44612,273306,11094,4,8,0,1,0.313266444,2,0,2,3,,,,
other,44613,278731,10887,4,3,1,0,0.244147157,2,1,1,2,,,,
thorn,44614,306356,11814,3,3,0,0,0.273132664,1,1,3,2,,,,
trove,44615,277576,11411,4,2,0,0,0.469342252,2,0,3,1,,,,
bloke,44616,250674,10405,3,5,0,0,0.414715719,2,0,3,3,,,,
vivid,44617,255907,11687,2,5,1,2,0.202898551,2,1,2,1,,,,
spill,44618,248363,10087,3,5,0,1,0.390189521,1,1,3,3,,,,
chant,44619,250413,10438,2,3,0,0,0.379041249,1,0,3,2,,,,
choke,44620,251094,10521,2,8,0,0,0.413600892,2,1,3,2,,,,
rupee,44621,240137,10577,3,3,0,1,0.37458194,3,0,2,3,,,,
nasty,44622,257304,10813,2,3,1,0,0.2909699,1,1,2,2,,,,
mourn,44623,240018,10465,2,5,0,0,0.26309922,2,0,2,2,,,,
ahead,44624,203730,9396,3,7,0,1,0.283166109,3,1,1,3,,,,
brine,44625,229895,10405,3,3,0,0,0.481605351,2,0,3,2,,,,
cloth,44626,218595,9911,3,0,0,0,0.293199554,1,1,3,2,,,,
hoard,44627,218595,9823,3,3,0,0,0.356744705,2,0,2,2,,,,
sweet,44628,207473,9767,3,3,0,1,0.40245262,2,1,3,3,,,,
month,44629,201799,9435,2,5,0,0,0.240802676,1,1,2,2,,,,
lapse,44630,208884,9960,3,5,0,0,0.412486065,2,0,2,2,,,,
watch,44631,226349,12400,2,5,0,0,0.266443701,1,1,2,1,,,,
today,44632,192049,9353,3,5,0,0,0.319955407,2,1,2,2,,,,
focus,44633,179436,8937,1,8,0,0,0.205128205,2,1,2,3,,,,
smelt,44634,185406,9373,3,3,0,0,0.391304348,1,0,3,3,,,,
tease,44635,202855,10024,4,5,0,1,0.472686734,3,1,2,2,,,,
cater,44636,217856,11234,4,5,0,0,0.321070234,2,1,2,1,,,,
movie,44637,169071,8847,3,5,0,0,0.396878484,3,0,2,3,,,,
saute,44638,179830,9304,3,5,0,0,0.488294314,3,0,2,2,,,,
allow,44639,156311,8515,4,8,0,1,0.249721293,2,1,1,3,,,,
renew,44640,154987,8417,3,8,0,1,0.259754738,2,0,2,3,,,,
their,44641,173636,9200,4,6,0,0,0.265328874,2,0,3,2,,,,
slosh,44642,160161,8807,2,3,0,1,0.364548495,1,0,3,3,,,,
purge,44643,156785,8555,2,5,0,0,0.332218506,2,0,2,3,,,,
chest,44644,169066,9318,2,3,0,0,0.315496098,1,1,3,2,,,,
depot,44645,150197,8562,3,5,0,0,0.284280936,2,1,2,2,,,,
epoxy,44646,149507,9376,2,3,1,0,0.264214047,2,0,1,1,,,,
nymph,44647,165468,9935,0,5,1,0,0.109253066,0,0,0,3,,,,
found,44648,173696,10613,1,8,0,0,0.259754738,2,1,2,1,,,,
shall,44649,149070,8494,3,4,0,1,0.426978818,1,1,3,3,,,,
stove,44650,158139,9318,3,8,0,0,0.484949833,2,1,3,1,,,,
lowly,44651,135219,8469,3,7,0,1,0.341137124,1,1,2,1,,,,
snout,44652,144648,8913,2,2,0,0,0.401337793,2,0,3,1,,,,
trope,44653,155079,9315,4,5,0,0,0.469342252,2,0,3,2,,,,
fewer,44654,124532,7931,3,3,0,1,0.297658863,2,0,2,1,,,,
shawl,44655,129651,7943,2,3,0,0,0.405797101,1,0,3,3,,,,
natal,44656,121356,7702,4,3,1,1,0.268673356,2,0,2,3,,,,
comma,44657,117856,7560,2,5,0,1,0.228539576,2,0,2,3,,,,
foray,44658,117761,7575,3,5,0,0,0.319955407,2,0,2,1,,,,
scare,44659,141158,9010,3,5,0,0,0.53400223,2,1,3,2,,,,
stair,44660,134210,8537,4,3,0,0,0.406911929,2,1,3,2,,,,
black,44661,126241,7894,2,3,0,0,0.332218506,1,1,3,2,,,,
squad,44662,109828,7236,1,5,0,0,0.312151616,2,1,3,3,,,,
royal,44663,114907,7275,4,5,0,0,0.268673356,2,1,2,3,,,,
chunk,44664,123255,7835,0,5,0,0,0.245261984,1,1,3,2,,,,
mince,44665,113448,7356,2,5,0,0,0.358974359,2,0,2,3,,,,
shame,44666,129991,8522,2,5,0,0,0.53400223,2,1,3,3,,,,
cheek,44667,107987,7035,2,3,0,1,0.303232999,2,0,3,3,,,,
ample,44668,106681,7008,3,3,0,0,0.415830546,2,1,1,3,,,,
flair,44669,112383,7341,4,5,0,0,0.336677815,2,0,3,2,,,,
foyer,44670,108899,8198,3,5,0,0,0.315496098,2,0,2,1,,,,
cargo,44671,102007,6796,3,5,0,0,0.277591973,2,1,2,3,,,,
oxide,44672,97955,6960,3,5,1,0,0.361204013,3,0,1,1,,,,
plant,44673,119232,7731,3,5,0,0,0.380156076,1,1,3,2,,,,
olive,44674,95562,6482,4,3,1,0,0.426978818,3,0,1,3,,,,
inert,44675,97452,6743,4,5,1,0,0.303232999,2,0,1,2,,,,
askew,44676,91548,6549,2,3,0,0,0.227424749,2,1,1,1,,,,
heist,44677,103153,6830,3,5,0,0,0.352285396,2,0,2,2,,,,
shown,44678,98967,6564,1,8,0,0,0.356744705,1,0,3,2,,,,
zesty,44679,88974,6315,2,3,1,0,0.273132664,1,0,2,1,,,,
larva,44681,77991,5749,4,5,0,1,0.220735786,2,0,2,1,,,,
forgo,44682,77658,5699,3,5,0,1,0.247491639,2,0,2,1,,,,
story,44683,95643,6530,3,5,0,0,0.394648829,1,0,3,3,,,,
hairy,44684,85817,5941,3,5,0,0,0.363433668,2,0,2,3,,,,
train,44685,107750,7243,4,5,0,0,0.376811594,2,1,3,2,,,,
homer,44686,85979,6313,3,5,0,0,0.315496098,2,0,2,1,,,,
badge,44687,76292,5482,2,5,0,0,0.392419175,2,0,2,3,,,,
midst,44688,74458,5233,2,5,0,0,0.280936455,1,1,2,3,,,,
canny,44689,72518,5256,1,3,0,1,0.32664437,1,1,2,1,,,,
shine,44690,88932,6146,2,5,0,0,0.497212932,2,1,3,2,,,,
gecko,44691,74412,5489,2,5,0,0,0.15942029,2,0,2,3,,,,
farce,44692,79446,5688,3,5,0,0,0.406911929,2,0,2,2,,,,
slung,44693,75673,5419,1,5,0,0,0.324414716,1,0,3,3,,,,
tipsy,44694,77585,5522,2,5,0,0,0.274247492,1,0,2,2,,,,
metal,44695,73225,5290,4,3,0,0,0.25083612,2,1,2,2,,,,
yield,44696,67115,4963,3,5,1,0,0.272017837,2,1,2,1,,,,
delve,44697,68349,5179,3,5,0,1,0.356744705,2,0,2,3,,,,
being,44698,70722,5142,2,8,0,0,0.29877369,2,0,2,3,,,,
scour,44699,73933,5544,2,3,0,0,0.357859532,2,0,3,2,,,,
glass,44700,70920,5162,2,5,0,1,0.337792642,1,1,3,3,,,,
gamer,44701,69884,5238,3,5,0,0,0.315496098,2,0,2,1,,,,
scrap,44702,66814,4973,2,5,0,0,0.314381271,1,1,4,2,,,,
money,44703,67909,4928,2,5,0,0,0.352285396,2,1,2,2,,,,
hinge,44704,66431,4906,2,5,0,0,0.325529543,2,0,2,3,,,,
album,44705,63380,4809,2,7,0,0,0.217391304,2,0,1,3,,,,
vouch,44706,62723,4835,1,3,1,0,0.266443701,2,0,2,1,,,,
asset,44707,63188,4733,3,5,0,1,0.343366778,2,1,1,2,,,,
tiara,44708,63846,4842,5,5,0,1,0.308807135,3,0,2,2,,,,
crept,44709,60069,4562,3,8,0,0,0.371237458,1,0,3,2,,,,
bayou,44710,56839,4435,2,3,0,0,0.239687848,3,0,2,3,,,,
atoll,44711,60969,4741,5,5,0,1,0.31884058,2,0,1,2,,,,
manor,44712,62768,4802,3,5,0,0,0.258639911,2,1,2,2,,,,
creak,44713,63241,4797,3,5,0,0,0.333333333,2,0,3,3,,,,
showy,44714,61278,4770,1,3,0,0,0.394648829,1,0,3,3,,,,
peach,44715,65431,4957,2,5,0,0,0.341137124,2,0,2,2,,,,
froth,44716,58263,4432,3,5,0,0,0.328874025,1,0,3,3,,,,
depth,44717,56738,4329,2,5,0,0,0.22296544,1,1,2,2,,,,
gloom,44718,58478,4548,3,5,0,1,0.261984392,2,1,3,3,,,,
flood,44719,58991,4440,3,5,0,1,0.268673356,2,1,3,3,,,,
trait,44720,61026,4607,5,5,0,1,0.434782609,2,1,3,3,,,,
girth,44721,60020,4665,3,5,0,0,0.210702341,1,0,2,3,,,,
piety,44722,55376,4324,3,5,0,0,0.288740245,2,0,2,3,,,,
goose,44723,51958,4087,3,8,0,1,0.441471572,3,0,2,1,,,,
float,44724,56684,4323,4,5,0,0,0.331103679,2,1,3,2,,,,
donor,44725,53802,4142,3,5,0,1,0.258639911,2,1,2,3,,,,
atone,44726,59968,4762,4,5,0,0,0.425863991,3,0,1,2,,,,
primo,44727,55989,4391,3,5,0,0,0.321070234,2,0,3,3,,,,
apron,44728,53430,4112,3,8,0,0,0.230769231,2,0,1,2,,,,
blown,44729,54665,4251,2,8,0,0,0.268673356,1,0,3,3,,,,
cacao,44730,47205,4101,3,5,0,2,0.288740245,3,0,2,1,,,,
loser,44731,55359,4399,4,7,0,0,0.315496098,2,0,2,2,,,,
input,44732,50484,3950,2,5,1,0,0.183946488,2,1,1,2,,,,
gloat,44733,53342,4194,4,5,0,0,0.331103679,2,0,3,3,,,,
awful,44734,47645,3861,2,3,0,0,0.196209588,2,1,1,3,,,,
brink,44735,53111,4118,2,5,0,0,0.344481605,1,0,3,3,,,,
smite,44736,50617,3991,3,5,0,0,0.497212932,2,0,3,3,,,,
beady,44737,46089,3670,2,3,0,0,0.38238573,2,0,2,3,,,,
rusty,44738,50450,3954,2,3,0,0,0.22296544,1,0,2,2,,,,
retro,44739,47986,3848,5,5,0,1,0.220735786,2,0,2,3,,,,
droll,44740,47312,3844,4,5,0,1,0.362318841,1,0,3,3,,,,
gawky,44741,45645,3957,1,5,0,0,0.279821628,1,0,2,1,,,,
hutch,44742,44212,3758,1,5,0,1,0.198439242,1,0,2,1,,,,
pinto,44743,47248,3792,3,5,0,0,0.172798216,2,0,2,3,,,,
egret,44744,41765,3515,4,3,1,1,0.313266444,2,0,1,3,,,,
lilac,44745,40486,3461,4,5,0,1,0.19509476,2,0,2,3,,,,
sever,44746,42645,3591,3,5,0,1,0.37458194,2,1,2,1,,,,
field,44747,44578,3604,3,5,0,0,0.272017837,2,1,2,3,,,,
fluff,44748,47344,4049,1,5,0,2,0.218506132,1,0,3,1,,,,
agape,44749,43407,3671,3,5,0,1,0.474916388,3,1,1,3,,,,
voice,44750,42806,3484,3,5,1,0,0.453734671,3,1,2,3,,,,
stead,44751,47094,3933,3,8,0,0,0.342251951,2,0,3,3,,,,
berth,44752,41785,3494,3,3,0,0,0.240802676,1,0,2,3,,,,
madam,44753,40545,3430,2,5,0,2,0.232998885,2,0,2,3,,,,
night,44754,46910,3870,2,5,1,0,0.220735786,1,1,2,2,,,,
bland,44755,46246,3727,2,8,0,0,0.32664437,1,0,3,2,,,,
liver,44756,40549,3388,4,7,0,0,0.267558528,2,0,2,1,,,,
wedge,44757,39234,3353,2,8,0,1,0.35451505,2,0,2,1,,,,
roomy,44758,38769,3280,3,3,0,1,0.351170569,2,0,2,3,,,,
wacky,44759,39611,3345,1,3,0,0,0.282051282,1,0,2,3,,,,
flock,44760,42574,3548,2,5,0,0,0.283166109,1,1,3,3,,,,
angry,44761,39667,3358,2,3,0,0,0.29877369,1,1,1,2,,,,
trite,44762,42237,3685,5,3,0,1,0.481605351,2,0,3,1,,,,
aphid,44763,39086,3367,2,5,0,0,0.23522854,2,0,1,3,,,,
tryst,44764,43099,3665,3,5,0,1,0.356744705,0,0,0,3,,,,
midge,44765,36769,3111,2,5,0,0,0.313266444,2,0,2,3,,,,
power,44766,39813,3401,3,5,0,0,0.315496098,2,1,2,3,,,,
elope,44767,39228,3339,4,5,1,1,0.414715719,3,0,1,3,,,,
cinch,44768,39171,3507,1,5,0,1,0.238573021,1,0,2,1,,,,
motto,44769,38384,3285,4,5,0,2,0.21516165,2,0,2,3,,,,
stomp,44770,40650,3490,2,5,0,0,0.319955407,1,0,3,2,,,,
upset,44771,37791,3213,2,3,1,0,0.269788183,2,1,1,2,,,,
bluff,44772,37353,3171,1,5,0,1,0.224080268,1,0,3,3,,,,
cramp,44773,39250,3369,2,5,0,0,0.396878484,1,1,3,2,,,,
quart,44774,36662,3303,3,5,1,0,0.366778149,2,0,2,3,,,,
coyly,44775,34909,3380,2,5,0,1,0.341137124,1,1,2,1,,,,
youth,44776,38381,3327,2,5,1,0,0.256410256,2,1,2,3,,,,
rhyme,44777,37229,3336,2,5,0,0,0.336677815,1,1,5,3,,,,
buggy,44778,37350,3428,0,3,0,1,0.234113712,1,0,2,1,,,,
alien,44779,38841,3395,4,3,0,0,0.342251951,3,1,1,2,,,,
smear,44780,36223,3190,3,3,0,0,0.343366778,2,0,3,3,,,,
unfit,44781,35516,3187,2,3,1,0,0.227424749,2,0,1,3,,,,
patty,44782,36223,3019,3,5,0,1,0.2909699,1,0,2,3,,,,
cling,44783,37654,3312,2,8,0,0,0.305462653,1,0,3,3,,,,
glean,44784,37301,3243,3,3,0,0,0.272017837,2,0,3,3,,,,
label,44785,34198,3076,4,5,0,1,0.301003344,2,1,2,3,,,,
hunky,44786,35276,3185,0,5,0,0,0.21516165,1,0,2,1,,,,
khaki,44787,31652,2968,2,5,1,1,0.255295429,2,0,3,3,,,,
poker,44788,35376,3180,3,5,0,0,0.315496098,2,0,2,3,,,,
gruel,44789,35105,3087,3,5,0,0,0.328874025,2,0,3,3,,,,
twice,44790,35815,3173,3,7,0,0,0.415830546,2,1,3,2,,,,
twang,44791,34938,3172,2,8,0,0,0.297658863,1,0,3,3,,,,
shrug,44792,33965,2987,1,3,0,0,0.314381271,1,0,4,3,,,,
treat,44793,38245,3249,5,5,0,1,0.371237458,2,1,3,2,,,,
waste,44794,35617,3186,3,5,0,0,0.381270903,2,1,2,1,,,,
merit,44795,35888,3123,4,5,0,0,0.297658863,2,1,2,2,,,,
woven,44796,33549,2933,2,8,0,0,0.276477146,2,0,2,1,,,,
needy,44797,33700,2927,2,3,1,1,0.31884058,2,1,2,3,,,,
clown,44798,36737,3175,2,5,0,0,0.293199554,1,0,3,2,,,,
irony,44799,34716,3046,3,5,1,0,0.379041249,2,0,1,2,,,,
ruder,44800,31241,2784,3,5,0,1,0.247491639,2,0,2,3,,,,
gauze,44801,30214,2866,2,5,0,0,0.396878484,3,0,2,1,,,,
chief,44802,34281,3072,2,5,0,0,0.329988852,2,1,3,2,,,,
onset,44803,33660,3009,3,8,1,0,0.273132664,2,1,1,2,,,,
prize,44804,35343,3166,3,5,0,0,0.481605351,2,1,3,1,,,,
fungi,44805,31903,2928,1,5,0,0,0.153846154,2,0,2,3,,,,
charm,44806,35724,3149,2,8,0,0,0.334448161,1,1,3,2,,,,
gully,44807,31191,2877,2,7,0,1,0.273132664,1,0,2,1,,,,
inter,44808,32018,2889,4,3,1,0,0.24303233,2,0,1,3,,,,
whoop,44809,32733,2970,2,5,0,1,0.254180602,2,0,3,3,,,,
taunt,44810,32734,3022,3,5,0,1,0.317725753,2,0,2,1,,,,
leery,44811,30992,2873,4,3,0,1,0.31884058,2,0,2,3,,,,
class,44812,31962,3001,2,5,0,1,0.342251951,1,1,3,3,,,,
theme,44813,32172,2909,3,5,0,1,0.392419175,2,1,3,2,,,,
lofty,44814,29237,2777,3,8,0,0,0.2909699,1,0,2,3,,,,
tibia,44815,27887,2675,4,3,0,1,0.199554069,3,0,2,3,,,,
booze,44816,29147,2883,3,5,0,1,0.441471572,3,0,2,1,,,,
alpha,44817,29497,2706,3,5,0,1,0.214046823,2,0,1,3,,,,
thyme,44818,32142,2938,2,8,0,0,0.35451505,1,0,5,3,,,,
doubt,44819,33344,3011,2,5,0,0,0.313266444,2,1,2,2,,,,
parer,44820,37309,4130,4,5,0,1,0.315496098,2,0,2,1,,,,
chute,44821,33418,3073,2,5,0,0,0.38238573,2,0,3,2,,,,
stick,44822,33102,3038,2,3,0,0,0.365663322,1,1,3,2,,,,
trice,44823,35050,3430,4,5,0,0,0.481605351,2,0,3,1,,,,
alike,44824,31277,2843,4,7,0,0,0.43812709,3,1,1,3,,,,
recap,44825,31976,2900,3,3,0,0,0.225195095,2,0,2,2,,,,
saint,44826,34455,3119,3,5,0,0,0.413600892,2,0,2,2,,,,
glory,44827,31509,2893,3,5,0,0,0.324414716,1,0,3,2,,,,
grate,44828,32777,3077,4,5,0,0,0.518394649,2,0,3,2,,,,
admit,44829,28994,2677,3,5,0,0,0.297658863,2,1,1,2,,,,
brisk,44830,31706,2884,2,3,0,0,0.355629877,1,0,3,3,,,,
soggy,44831,30985,2888,1,3,0,1,0.397993311,1,0,2,3,,,,
usurp,44832,31355,3007,1,3,1,1,0.168338907,2,0,1,3,,,,
scald,44833,30477,2829,2,5,0,0,0.426978818,1,0,3,3,,,,
scorn,44834,31223,2859,2,5,0,0,0.351170569,1,1,3,2,,,,
leave,44835,28202,2696,4,8,0,1,0.472686734,3,1,2,3,,,,
twine,44836,30088,2775,3,3,0,0,0.41025641,2,0,3,2,,,,
sting,44837,32288,2969,2,8,0,0,0.360089186,1,1,3,2,,,,
bough,44838,32014,3060,1,2,0,0,0.256410256,2,0,2,3,,,,
marxh,44839,30935,2885,2,5,0,0,0.258639911,1,0,2,2,,,,
sloth,44840,32522,2987,3,0,0,0,0.364548495,1,0,3,2,,,,
dandy,44841,29026,2840,1,3,0,1,0.284280936,1,0,2,1,,,,
vigor,44842,26905,2642,3,5,1,0,0.210702341,2,0,2,3,,,,
howdy,44843,28408,2668,1,5,0,0,0.27090301,1,1,2,1,,,,
enjoy,44844,26878,2654,2,5,1,0,0.209587514,2,1,1,1,,,,
valid,44845,28575,2752,3,3,1,0,0.25083612,2,1,2,2,,,,
ionic,44846,29151,2947,3,3,1,1,0.231884058,3,0,1,1,,,,
equal,44847,27197,2677,3,3,1,0,0.220735786,3,1,1,3,,,,
floor,44848,28906,2752,4,5,0,1,0.287625418,2,1,3,3,,,,
catch,44849,30403,3123,2,5,0,1,0.285395764,1,1,2,1,,,,
spade,44850,30459,2854,2,8,0,0,0.53400223,2,1,3,2,,,,
stein,44851,31269,2965,3,3,0,0,0.328874025,2,0,3,2,,,,
exist,44852,28612,2805,3,3,1,0,0.337792642,2,1,1,3,,,,
quirk,44853,28322,2794,2,5,1,0,0.251950948,2,0,2,3,,,,
denim,44854,28741,2769,2,5,0,0,0.21516165,2,0,2,2,,,,
grove,44855,28637,2794,3,5,0,0,0.469342252,2,1,3,3,,,,
spiel,44856,29084,2810,3,5,0,0,0.401337793,2,0,3,2,,,,
mummy,44857,29279,3021,0,5,0,2,0.202898551,1,0,2,1,,,,
fault,44858,28947,2768,3,5,0,0,0.347826087,2,1,2,2,,,,
foggy,44859,28953,2817,1,8,0,1,0.296544036,1,0,2,3,,,,
flout,44860,30063,2904,3,5,0,0,0.331103679,2,0,3,2,,,,
carry,44861,27609,2615,3,5,0,1,0.32664437,1,1,2,3,,,,
sneak,44862,27905,2636,2,8,0,0,0.342251951,2,1,3,2,,,,
libel,44863,25156,2536,4,5,0,1,0.253065775,2,0,2,3,,,,
waltz,44864,24672,2496,3,5,0,0,0.21516165,1,0,2,1,,,,
aptly,44865,26498,2572,3,7,0,0,0.325529543,1,1,1,3,,,,
piney,44866,27502,3667,2,8,0,0,0.304347826,2,0,2,3,,,,
inept,44867,27670,2640,3,3,1,0,0.257525084,2,0,1,2,,,,
aloud,44868,29554,2819,3,3,0,0,0.305462653,3,1,1,2,,,,
photo,44869,27330,2565,3,5,0,1,0.249721293,2,0,3,2,,,,
dream,44870,29743,2751,3,5,0,0,0.32664437,2,1,3,2,,,,
stale,44871,31068,3013,4,5,0,0,0.53400223,2,1,3,2,,,,
begin,44872,26096,2439,2,5,0,0,0.232998885,2,1,2,2,,,,
spell,44873,27213,2531,3,8,0,1,0.363433668,1,0,3,3,,,,
rainy,44874,28984,2678,3,3,0,0,0.363433668,2,0,2,2,,,,
unite,44875,27467,2575,3,3,1,0,0.390189521,3,1,1,2,,,,
medal,44876,25993,2438,3,3,0,0,0.25083612,2,0,2,3,,,,
valet,44877,24660,2356,4,5,1,0,0.358974359,2,0,2,3,,,,
inane,44878,25085,2515,3,5,1,1,0.447045708,3,0,1,2,,,,
maple,44879,26536,2467,3,5,0,0,0.431438127,2,0,2,2,,,,
snarl,44880,27475,2650,3,5,0,0,0.400222965,1,0,3,3,,,,
baker,44881,25576,2541,3,5,0,0,0.315496098,2,0,2,1,,,,
there,44882,27465,2530,4,7,0,1,0.392419175,2,1,3,2,,,,
glyph,44883,29208,2899,1,8,0,0,0.202898551,0,0,0,3,,,,
avert,44884,24749,2400,4,5,0,0,0.327759197,2,0,1,2,,,,
brave,44885,24991,2396,3,5,0,0,0.518394649,2,1,3,1,,,,
axiom,44886,24288,2382,3,3,0,0,0.285395764,3,0,1,3,,,,
prime,44887,27437,2534,3,3,0,0,0.481605351,2,1,3,2,,,,
drive,44888,26663,2451,3,5,0,0,0.481605351,2,1,3,2,,,,
feast,44889,27705,2725,3,5,0,0,0.389074693,2,1,2,2,,,,
itchy,44890,24197,2329,2,5,1,0,0.181716834,1,0,1,2,,,,
happy,44892,25206,2356,1,3,0,1,0.27090301,1,1,2,2,,,,
tepid,44893,26051,2484,3,3,0,0,0.232998885,2,0,2,2,,,,
undue,44894,23739,2316,1,3,1,1,0.267558528,3,0,1,3,,,,
eject,44896,22628,2200,3,5,1,1,0.305462653,2,0,1,3,,,,
chafe,44897,24646,2343,2,3,0,0,0.462653289,2,0,3,2,,,,
torso,44898,23873,2260,4,5,0,1,0.273132664,2,0,2,2,,,,
adore,44899,25577,2398,4,7,0,0,0.425863991,3,0,1,2,,,,
woken,44900,23153,2200,2,3,0,0,0.276477146,2,0,2,1,,,,
amber,44901,23509,2261,3,5,0,0,0.299888517,2,1,1,3,,,,
joust,44902,24899,2388,2,5,1,0,0.328874025,2,0,2,2,,,,
infer,44903,21199,1863,3,5,1,0,0.229654404,2,1,1,3,,,,
braid,44904,23640,2165,3,5,0,0,0.376811594,2,0,3,2,,,,
knock,44905,21157,2041,1,5,1,1,0.237458194,1,0,3,3,,,,
apply,44907,22873,2150,2,8,0,1,0.325529543,1,1,1,2,,,,
spoke,44908,24101,2224,2,8,0,0,0.484949833,2,0,3,2,,,,
usual,44909,20824,2048,2,3,1,1,0.220735786,3,1,1,3,,,,
rival,44910,22176,2127,4,3,0,0,0.220735786,2,1,2,2,,,,
chord,44912,22336,2088,2,5,0,0,0.285395764,1,0,3,2,,,,
taper,44913,22166,2108,4,5,0,0,0.315496098,2,0,2,2,,,,
slate,44914,26010,2422,4,5,0,0,0.53400223,2,1,3,2,,,,
third,44915,24137,2261,3,3,0,0,0.285395764,1,1,3,2,,,,
lunar,44916,22180,2036,3,3,0,0,0.21516165,2,1,2,2,,,,
excel,44917,20490,2034,3,5,1,1,0.214046823,2,1,1,3,,,,
aorta,44918,21937,2112,5,5,0,1,0.289855072,3,0,1,2,,,,
poise,44919,20281,1911,3,5,0,0,0.453734671,3,0,2,2,,,,
extra,44920,15554,1562,4,3,1,0,0.151616499,2,1,1,3,,,,
judge,44921,20011,2043,1,5,1,0,0.284280936,2,1,2,1,,,,
condo,44922,20879,2012,2,5,0,1,0.251950948,2,0,2,3,,,,
impel,44923,20160,1937,3,5,1,0,0.206243032,2,0,1,3,,,,
havoc,44924,20001,1919,2,5,0,0,0.208472687,2,1,2,3,,,,
molar,44925,21204,1973,4,5,0,0,0.283166109,2,0,2,3,,,,
manly,44926,20380,1899,2,7,0,0,0.341137124,1,0,2,3,,,,
